order,nrowMRD,jfID,ncolfrLast
6119,28546,X907514182001_F_10,37146
6120,29962,X907514182016_F_9,38562
6121,27733,X907514049011_C_11,33339
6122,28411,X907514050005_B_5,34017
6123,30331,X907514182020_F_3,38931
6124,28825,X907514182004_E_9,37425
6125,30262,X907514182019_H_6,38862
6126,27893,X907514049013_A_1,33499
6127,27479,X907514049008_E_4,33085
6128,28118,X907514050002_A_5,33724
6129,28897,X907514182005_D_10,37497
6130,29523,X907514182012_A_6,38123
6131,29901,X907514182016_A_8,38501
6132,30097,X907514182018_B_4,38697
6133,27531,X907514049009_B_1,33137
6134,28729,X907514182003_E_7,37329
6135,28706,X907514182003_C_8,37306
6136,28956,X907514182006_A_11,37556
6137,29015,X907514182006_F_11,37615
6138,28993,X907514182006_D_2,37593
6139,28089,X907514050001_F_9,33695
6140,30153,X907514182018_G_11,38753
6141,28982,X907514182006_C_3,37582
6142,29025,X907514182006_G_1,37625
6143,28753,X907514182003_G_8,37353
6144,28742,X907514182003_F_8,37342
6145,27491,X907514049008_F_4,33097
6146,27616,X907514049010_A_12,33222
6147,28927,X907514182005_F_5,37527
6148,29553,X907514182012_D_11,38153
6149,28823,X907514182004_E_7,37423
6150,28525,X907514182001_D_2,37125
6151,28317,X907514050004_B_4,33923
6152,27993,X907514049014_B_3,33599
6153,28478,X907514050005_H_2,34084
6154,28504,X907514182001_B_4,37104
6155,29825,X907514182015_C_2,38425
6156,28334,X907514050004_D_1,33940
6157,30536,X907514182022_H_10,39136
6158,28961,X907514182006_A_5,37561
6159,28152,X907514050002_D_3,33758
6160,29676,X907514182013_F_5,38276
6161,29862,X907514182015_F_3,38462
6162,30034,X907514182017_E_10,38634
6163,27537,X907514049009_B_4,33143
6164,28872,X907514182005_B_1,37472
6165,27710,X907514049011_A_12,33316
6166,29748,X907514182014_D_7,38348
6167,30366,X907514182021_A_4,38966
6168,28423,X907514050005_C_5,34029
6169,27681,X907514049010_F_6,33287
6170,29538,X907514182012_B_9,38138
6171,29685,X907514182013_G_3,38285
6172,28399,X907514050005_A_5,34005
6173,30124,X907514182018_D_7,38724
6174,28987,X907514182006_C_8,37587
6175,30435,X907514182021_G_2,39035
6176,29356,X907514182010_C_2,37956
6177,29013,X907514182006_F_1,37613
6178,28184,X907514050002_G_10,33790
6179,30250,X907514182019_G_4,38850
6180,28542,X907514182001_E_7,37142
6181,27588,X907514049009_F_7,33194
6182,28012,X907514049014_G_2,33618
6183,29713,X907514182014_A_8,38313
6184,30490,X907514182022_D_11,39090
6185,29945,X907514182016_E_4,38545
6186,30392,X907514182021_C_6,38992
6187,30589,X907514182023_D_5,39189
6188,30059,X907514182017_G_11,38659
