geno,ngr2,ngr3,ngr4,ngr5,ngr6,ngr7,ngr8,ngr9,ngr10,ngr11,ngr12,ngr13,ngr14,ngr15,ngr20,ngr25,ngr30,ngr35,ngr40,ngr45,ngr50
X900912244003_B_1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X900912244003_B_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244003_B_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244003_B_12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244003_B_2,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5
X900912244003_B_3,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X900912244003_B_5,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_B_7,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X900912244003_C_1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X900912244003_C_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244003_C_12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244003_C_2,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5
X900912244003_C_3,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_C_4,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_C_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X900912244003_C_6,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_D_1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X900912244003_D_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244003_D_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244003_D_12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,16,16
X900912244003_D_2,1,1,1,1,1,3,3,3,4,4,4,4,4,4,9,9,10,10,11,12,12
X900912244003_D_3,1,1,1,1,1,3,3,3,4,4,4,4,4,4,9,9,10,10,11,12,12
X900912244003_D_4,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_D_5,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_E_1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
X900912244003_E_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244003_E_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244003_E_12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244003_E_2,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X900912244003_E_3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
X900912244003_E_4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
X900912244003_E_5,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_E_6,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_E_8,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_E_9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X900912244003_F_1,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5
X900912244003_F_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244003_F_11,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_F_12,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,9,10,10
X900912244003_F_2,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X900912244003_F_4,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_F_5,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_F_6,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_F_7,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X900912244003_G_1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X900912244003_G_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244003_G_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244003_G_2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
X900912244003_G_3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
X900912244003_G_4,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_G_5,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_G_6,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_G_7,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_H_1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X900912244003_H_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244003_H_2,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X900912244003_H_3,1,1,1,1,1,3,3,3,4,4,4,4,4,4,9,9,10,10,11,12,12
X900912244003_H_4,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_H_5,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_H_6,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_H_7,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_H_8,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244004_A_10,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,11,13,13,16,17,17
X900912244004_A_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X900912244004_A_12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X900912244004_A_2,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X900912244004_A_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244004_A_4,2,3,3,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7
X900912244004_A_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244004_A_6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X900912244004_A_7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X900912244004_A_8,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,11,13,13,16,17,17
X900912244004_A_9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X900912244004_B_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X900912244004_B_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X900912244004_B_12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X900912244004_B_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244004_B_4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244004_B_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
X900912244004_B_6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244004_B_7,1,1,1,1,1,3,6,7,8,9,9,9,9,9,11,12,14,14,17,18,18
X900912244004_B_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15
