ncolfr,names
1024,X908015184013_D_3
1025,X908015184013_D_4
1026,X908015184013_D_5
1027,X908015184013_D_6
1028,X908015184013_D_7
1029,X908015184013_D_8
1030,X908015184013_D_9
1031,X908015184013_E_1
1032,X908015184013_E_10
1033,X908015184013_E_11
1034,X908015184013_E_12
1035,X908015184013_E_2
1036,X908015184013_E_3
1037,X908015184013_E_4
1038,X908015184013_E_5
1039,X908015184013_E_6
1040,X908015184013_E_7
1041,X908015184013_E_8
1042,X908015184013_E_9
1043,X908015184013_F_1
1044,X908015184013_F_10
1045,X908015184013_F_11
1046,X908015184013_F_12
1047,X908015184013_F_2
1048,X908015184013_F_3
1049,X908015184013_F_4
1050,X908015184013_F_5
1051,X908015184013_F_6
1052,X908015184013_F_7
1053,X908015184013_F_8
1054,X908015184013_F_9
1055,X908015184013_G_1
1056,X908015184013_G_10
1057,X908015184013_G_11
1058,X908015184013_G_12
1059,X908015184013_G_2
1060,X908015184013_G_3
1061,X908015184013_G_4
1062,X908015184013_G_5
1063,X908015184013_G_6
1064,X908015184013_G_7
1065,X908015184013_G_8
1066,X908015184013_G_9
1067,X908015184013_H_1
1068,X908015184013_H_10
1069,X908015184013_H_11
1070,X908015184013_H_2
1071,X908015184013_H_3
1072,X908015184013_H_4
1073,X908015184013_H_5
1074,X908015184013_H_6
1075,X908015184013_H_7
1076,X908015184013_H_8
1077,X908015184013_H_9
1078,X908015184014_A_1
1079,X908015184014_A_10
1080,X908015184014_A_11
1081,X908015184014_A_12
1082,X908015184014_A_2
1083,X908015184014_A_3
1084,X908015184014_A_4
1085,X908015184014_A_5
1086,X908015184014_A_6
1087,X908015184014_A_7
1088,X908015184014_A_8
1089,X908015184014_A_9
1090,X908015184014_B_1
1091,X908015184014_B_10
1092,X908015184014_B_11
1093,X908015184014_B_12
1094,X908015184014_B_2
1095,X908015184014_B_3
1096,X908015184014_B_4
1097,X908015184014_B_5
1098,X908015184014_B_6
1099,X908015184014_B_7
1100,X908015184014_B_8
1101,X908015184014_B_9
1102,X908015184014_C_1
1103,X908015184014_C_10
1104,X908015184014_C_11
1105,X908015184014_C_12
1106,X908015184014_C_2
1107,X908015184014_C_3
1108,X908015184014_C_4
1109,X908015184014_C_5
1110,X908015184014_C_6
1111,X908015184014_C_7
1112,X908015184014_C_8
1113,X908015184014_C_9
1114,X908015184014_D_1
1115,X908015184014_D_10
1116,X908015184014_D_11
1117,X908015184014_D_12
1118,X908015184014_D_2
1119,X908015184014_D_3
1120,X908015184014_D_4
1121,X908015184014_D_5
1122,X908015184014_D_6
1123,X908015184014_D_7
1124,X908015184014_D_8
1125,X908015184014_D_9
1126,X908015184014_E_1
1127,X908015184014_E_10
1128,X908015184014_E_11
1129,X908015184014_E_12
1130,X908015184014_E_2
1131,X908015184014_E_3
1132,X908015184014_E_4
1133,X908015184014_E_5
1134,X908015184014_E_6
1135,X908015184014_E_7
1136,X908015184014_E_8
1137,X908015184014_E_9
1138,X908015184014_F_1
1139,X908015184014_F_10
1140,X908015184014_F_11
1141,X908015184014_F_12
1142,X908015184014_F_2
1143,X908015184014_F_3
1144,X908015184014_F_4
1145,X908015184014_F_5
1146,X908015184014_F_6
1147,X908015184014_F_7
1148,X908015184014_F_8
1149,X908015184014_F_9
1150,X908015184014_G_1
1151,X908015184014_G_10
1152,X908015184014_G_11
1153,X908015184014_G_12
1154,X908015184014_G_2
1155,X908015184014_G_3
